Id,Date,Year,Month,Country,Country_code,State_or_UT,State_Code,District,Dist_Code,Place,lat_new,lon_new,Source,Region,cluster_label
IND_040,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Malda,MLD,,25.01,88.14,EMD,East,1
IND_041,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Howrah,HWR,,22.6,88.26,EMD,East,1
IND_042,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Birbhum,BRB,,24.06,87.23,EMD,East,2
IND_043,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Bankura,BNK,,23.23,87.08,EMD,East,2
IND_044,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,North 24 Parganas,NHP,,22.62,88.4,EMD,East,1
IND_045,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Paschim Medinipur,PCM,,22.43,87.28,EMD,East,2
IND_046,"Saturday, October 21, 2000",2000,10,India,IN,West Bengal,WB,Birbhum,BRB,,24.06,87.23,EMD,East,2
IND_047,"Saturday, October 21, 2000",2000,10,India,IN,West Bengal,WB,Purba Bardhaman,PBB,,23.23,87.86,EMD,East,2
IND_048,"Saturday, October 21, 2000",2000,10,India,IN,West Bengal,WB,Murshidabad,MSD,,24.18,88.23,EMD,East,1
IND_049,"Saturday, October 21, 2000",2000,10,India,IN,West Bengal,WB,Malda,MLD,,25.01,88.14,EMD,East,1
IND_050,"Saturday, October 21, 2000",2000,10,India,IN,Jharkhand,JH,Dumka,DMK,,24.28,87.27,EMD,East,2
IND_051,"Saturday, October 21, 2000",2000,10,India,IN,Jharkhand,JH,Sahibganj,SHB,,25.23,87.62,EMD,East,2
IND_052,"Saturday, October 21, 2000",2000,10,India,IN,Jharkhand,JH,Deoghar,DGR,,24.47,86.66,EMD,East,2
IND_053,"Saturday, October 21, 2000",2000,10,India,IN,Bihar,BR,Sheikhpura,SKP,,25.14,85.85,EMD,East,2
IND_054,"Saturday, October 21, 2000",2000,10,India,IN,Bihar,BR,Munger,MNG,,25.37,86.48,EMD,East,2
IND_055,"Saturday, October 21, 2000",2000,10,India,IN,Bihar,BR,Bhagalpur,BGP,,25.19,86.74,EMD,East,2
IND_056,"Saturday, October 21, 2000",2000,10,India,IN,Bihar,BR,Banka,BKA,,24.89,86.91,EMD,East,2
IND_057,"Thursday, October 19, 2000",2000,10,India,IN,West Bengal,WB,North 24 Parganas,NHP,,22.62,88.4,EMD,East,1
IND_058,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Angul,AGL,Athmalik village,20.85,85.13,EMD,East,2
IND_059,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Khordha,KRD,Balipatna villages,20.18,85.67,EMD,East,2
IND_060,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Cuttack,CTK,"Banki, Kantapada villages",20.46,85.88,EMD,East,2
IND_061,"Friday, June 15, 2001",2001,6,India,IN,Maharashtra,MH,Mumbai Suburban,MBS,Bhandup area,19.16,72.78,EMD,West,0
IND_062,"Friday, June 15, 2001",2001,6,India,IN,Kerala,KL,Kasaragod,KSG,Hosdurg borough (Kanhangad city ),12.5,74.99,EMD,South,0
IND_063,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Puri,PRI,"Kakatpur, Astaranga, Kanas, Delanga villages",19.81,85.8,EMD,East,2
IND_064,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Kendrapara,KDR,"Marshagal, Mahakalpada villages",20.5,86.42,EMD,East,2
IND_065,"Friday, June 22, 2001",2001,6,India,IN,Assam,AS,Karimganj,KMG,Patharkandi village,24.87,92.36,EMD,North East,1
IND_066,"Friday, June 22, 2001",2001,6,India,IN,Assam,AS,Cachar,CCR,Silchar City,24.75,92.51,EMD,North East,1
IND_067,"Saturday, September 15, 2001",2001,9,India,IN,Bihar,BR,Saran,SRN,,26.05,84.62,EMD,East,2
IND_068,"Saturday, September 15, 2001",2001,9,India,IN,Bihar,BR,Gopalganj,GPG,,26.48,84.43,EMD,East,2
IND_069,"Saturday, September 15, 2001",2001,9,India,IN,Bihar,BR,East Champaran (Motihari),ECM,,26.63,84.98,EMD,East,2
IND_070,"Saturday, September 15, 2001",2001,9,India,IN,Bihar,BR,Madhubani,MDB,,26.35,86.03,EMD,East,2
IND_071,"Friday, June 22, 2001",2001,6,India,IN,Tripura,TR,West Tripura,WTP,,23.92,91.25,EMD,North East,1
IND_072,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Jajpur,JJP,,20.84,86.33,EMD,East,2
IND_073,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Jagatsinghpur,JSH,,20.26,86.17,EMD,East,2
IND_074,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Kalahandi,KLH,,20.13,85.07,EMD,East,2
IND_075,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Koraput,KPT,,18.81,82.71,EMD,East,0
IND_076,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Balangir,BLN,,20.7,83.48,EMD,East,2
IND_077,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Nayagarh,NYG,,20.12,85.11,EMD,East,2
IND_078,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Baleswar,BLS,,21.49,86.91,EMD,East,2
IND_079,"Tuesday, July 10, 2001",2001,7,India,IN,Odisha,OR,Bhadrak,BDK,,21.06,86.5,EMD,East,2
IND_080,"Tuesday, July 10, 2001",2001,7,India,IN,Chhattisgarh,CT,Dhamatari,DMT,,20.71,81.55,EMD,Central,2
IND_081,"Tuesday, July 10, 2001",2001,7,India,IN,Chhattisgarh,CT,Raipur,RPR,,21.26,81.57,EMD,Central,2
IND_082,"Tuesday, July 10, 2001",2001,7,India,IN,Chhattisgarh,CT,Mahasamund,MSM,,21.11,82.09,EMD,Central,2
IND_083,"Tuesday, July 10, 2001",2001,7,India,IN,Chhattisgarh,CT,Janjgir-Champa,JGC,,21.93,82.32,EMD,Central,2
IND_084,"Tuesday, July 10, 2001",2001,7,India,IN,Chhattisgarh,CT,Raigarh,RGH,,21.9,83.35,EMD,Central,2
IND_085,"Monday, July 16, 2001",2001,7,India,IN,Kerala,KL,Idukki,IDK,,9.87,76.93,EMD,South,0
IND_086,"Monday, July 16, 2001",2001,7,India,IN,Kerala,KL,Kottayam,KTM,,9.59,76.89,EMD,South,0
IND_087,"Monday, July 16, 2001",2001,7,India,IN,Kerala,KL,Pathanamthitta,PNM,,9.26,76.73,EMD,South,0
IND_088,"Monday, July 16, 2001",2001,7,India,IN,Kerala,KL,Kollam,KLM,,8.89,76.61,EMD,South,0
IND_089,"Monday, July 16, 2001",2001,7,India,IN,Kerala,KL,Alappuzha,APZ,,9.5,76.34,EMD,South,0
IND_090,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Aurangabad,ABD,,24.76,84.38,EMD,East,2
IND_091,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Bhojpur,BPR,,25.48,84.56,EMD,East,2
IND_092,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Gopalganj,GPG,,26.48,84.43,EMD,East,2
IND_093,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Jehanabad,JHB,,25.21,84.97,EMD,East,2
IND_094,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Muzaffarpur,MZF,,26.12,85.38,EMD,East,2
IND_095,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Nalanda,NLD,,25.2,85.27,EMD,East,2
IND_096,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,West Champaran,WCP,,27.08,83.76,EMD,East,2
IND_097,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Patna,PTA,,25.61,85.06,EMD,East,2
IND_098,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,East Champaran (Motihari),ECM,,26.63,84.98,EMD,East,2
IND_099,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Rohtas,RTS,,24.95,83.57,EMD,East,2
IND_100,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Saran,SRN,,26.05,84.62,EMD,East,2
IND_101,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Sitamarhi,SMH,,26.58,85.46,EMD,East,2
IND_102,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Siwan,SWN,,26.22,84.39,EMD,East,2
IND_103,"Wednesday, August 15, 2001",2001,8,India,IN,Bihar,BR,Vaishali,VSH,,25.74,85.02,EMD,East,2
IND_104,"Friday, June 15, 2001",2001,6,India,IN,Maharashtra,MH,Thane,THN,,19.21,72.91,EMD,West,0
IND_105,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,Gopalganj,GPG,,26.48,84.43,EMD,East,2
IND_106,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,East Champaran (Motihari),ECM,,26.63,84.98,EMD,East,2
IND_107,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,West Champaran,WCP,,27.08,83.76,EMD,East,2
IND_108,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,Muzaffarpur,MZF,,26.12,85.38,EMD,East,2
IND_109,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,Vaishali,VSH,,25.74,85.02,EMD,East,2
IND_110,"Monday, August 20, 2001",2001,8,India,IN,Bihar,BR,Saran,SRN,,26.05,84.62,EMD,East,2
IND_111,"Monday, September 24, 2001",2001,9,India,IN,Bihar,BR,Saran,SRN,,26.05,84.62,EMD,East,2
IND_112,"Monday, September 24, 2001",2001,9,India,IN,Bihar,BR,Gopalganj,GPG,,26.48,84.43,EMD,East,2
IND_113,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Barpeta,BRP,,26.32,91.01,EMD,North East,1
IND_114,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Bongaigaon,BGG,,26.49,90.53,EMD,North East,1
IND_115,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Cachar,CCR,,24.75,92.51,EMD,North East,1
IND_116,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Darrang,DRN,,26.44,92.05,EMD,North East,1
IND_117,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Dhemaji,DMJ,,27.48,94.53,EMD,North East,1
IND_118,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Dhubri,DHB,,26.02,89.97,EMD,North East,1
IND_119,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Dibrugarh,DGH,,27.47,94.88,EMD,North East,1
IND_120,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Goalpara,GLP,,26.17,90.62,EMD,North East,1
IND_121,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Golaghat,GLG,,26.52,93.97,EMD,North East,1
IND_122,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Jorhat,JHT,,26.75,94.2,EMD,North East,1
IND_123,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Kamrup,KRP,,26.13,90.72,EMD,North East,1
IND_124,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Karimganj,KMG,,24.87,92.36,EMD,North East,1
IND_125,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Kokrajhar,KKJ,,26.4,90.27,EMD,North East,1
IND_126,"Wednesday, August 28, 2002",2002,8,India,IN,Assam,AS,Lakhimpur,LKM,,26.84,91.9,EMD,North East,1
